student_name,student_id,major,period,grade,passed_subject,get_subject
조한비,2013575807,기계공학과,8,4,"['CA4002-00', 'AR111-05', 'ESP118-00', 'EE211-01', 'CHI420-00', 'AE351-01', 'CHI303-00', 'GEE1630-G01', 'OMB320-00', 'SWCON104-01', 'AE431-00', 'GEC1102-G52', 'GED1959-G01', 'GEC1104-G04', 'CE275-01', 'GEC1102-G35', 'FT2070-00', 'PM2023-18', 'SC400-01', 'AE101-00', 'OMB319-00', 'EE497-04', 'JP233-00', 'PM4025-08']","['GEE1345-G02', 'GEC1105-G49', 'GED1408-G00', 'GEC1105-G14', 'GED1311-G00', 'GED1208-G01']"
박시윤,2021318736,기계공학과,1,1,"['EDU2103-G03', 'EE343-00', 'IS2507-00', 'GEN305-01', 'AMIE471-00', 'AMTH1002-00']","['GEC1102-G54', 'GED1819-G00', 'GEC2001-G28', 'GEE1960-G01', 'GEE1956-G03']"
최보민,2012209456,기계공학과,8,4,"['AT401-00', 'TC317-00', 'SPACE493-00', 'GEC1105-G15', 'GEC0103-G03', 'ME382-01', 'FD101-03', 'GEC1105-G30', 'GED1876-G00', 'SC305-01', 'VID2008-01', 'PM1019-18', 'SC303-02', 'SC305-01', 'EE213-01', 'APHY1002-09']","['GEE1630-G00', 'GED1820-G00', 'GEC1105-G03', 'GEC1105-G18']"
윤주하,2017562186,기계공학과,3,2,"['BME403-00', 'ME321-02', 'GI306-01', 'GEC1105-G07', 'ESP105-02', 'SWCON314-00', 'GED1223-G01']","['GEE1608-G00', 'GEC1105-G38', 'GEC1102-G46', 'EDU3106-G00', 'GEC2001-G36']"
박해솔,2014308432,기계공학과,7,4,"['CSE438-00', 'FT1001-00', 'APHY4200-00', 'ELC257-00', 'NE202-01', 'CSE444-00', 'GED1609-G01', 'AR311-04', 'AMTH1009-02', 'APHY1002-07', 'GEN306-00', 'CA2019-00', 'PM3022-01', 'VID3001-00', 'PM1012-00', 'EE370-01', 'GED1628-G00', 'CPE108-00', 'JP231-00', 'EE497-14', 'GED1951-G00', 'AMTH1002-00', 'GEE1127-G02', 'GED1435-G00']","['GEC1104-G28', 'GEC1102-G46', 'GED1202-G01', 'GEE1344-G02']"
정서이,2013354286,기계공학과,6,3,"['VID3003-00', 'IS4102-00', 'DC303-00', 'GEC0103-G11', 'PM1005-00', 'TK306-02', 'PE216-00', 'CE476-00', 'CPE301-10', 'GED1717-G03', 'APHY1000-04', 'AR112-04', 'TC433-00', 'BME412-03', 'SC404-01', 'GEC1102-G13', 'CHE351-01', 'GED1540-G00']","['GEC0103-G01', 'GED1408-G01', 'GED1248-G00', 'EDU2103-G04']"
강창현,2016969487,기계공학과,5,3,"['AR311-03', 'ID3016-00', 'GEE1644-G00', 'AMIE220-01', 'CSE204-02', 'FSB231-00', 'GEB1201-G00', 'GEB1102-G06', 'EDU3106-G01', 'FSB471-00', 'AR452-00', 'AR511-04', 'EE368-00', 'PE213-01', 'DC207-00', 'SM2011-00', 'GED1419-G00', 'AMTH1002-14']","['GEC1102-G38', 'GEC1105-G14', 'GED1656-G00', 'GED1223-G01', 'GED1432-G00', 'GEC2001-G07']"
한준현,2012892975,기계공학과,3,2,"['CA1007-00', 'GEC1102-G23', 'GEC1102-G33', 'HBT408-00', 'CSE301-01', 'CA4001-00', 'TC433-01', 'FR2013-01', 'GEC1105-G48', 'GEE1344-G02']","['GEC1104-G44', 'GED1349-G00', 'GEC1403-G21', 'GEE1332-G01', 'GEC1102-G30']"
정재희,2014179795,기계공학과,7,4,"['GEE1665-G00', 'PAM215-00', 'FT4071-00', 'ELC471-00', 'IS2003-01', 'DC404-00', 'ME479-02', 'ID4015-01', 'GED1991-G00', 'RU4102-00', 'TK307-02', 'NE202-00', 'FT1003-00', 'PM3022-12', 'GEC1104-G25', 'APHY1000-04', 'GEB1102-G08', 'CSE203-03', 'BME406-00', 'CDG3255-00']","['GEC1105-G35', 'GED1959-G02', 'GED1235-G00', 'GEC1104-G17']"
김상혁,2011626505,기계공학과,6,3,"['CHE431-03', 'GEC1102-G15', 'APCH2303-02', 'ME301-02', 'PM4025-13', 'IS2507-00', 'GEC1105-G19', 'IS2502-00', 'ME202-03', 'GEC1102-G01', 'GEC1403-G09', 'GEC1102-G19']","['GEE1330-G01', 'IPE102-00', 'GEB1102-G00', 'GEC1403-G15', 'GED1223-G00', 'GEC2001-G38']"
조송연,2014240412,기계공학과,5,3,"['LA316-00', 'FD110-02', 'FT2076-00', 'GEC1105-G41', 'GED1356-G00', 'TK102-01', 'GEE1644-G00', 'EE496-00', 'APCH1121-07', 'EE363-00', 'GED1960-G00', 'GEC1403-G20', 'GEC1105-G48', 'CA4001-00', 'CHE456-00']","['GEC1403-G26', 'IPE503-00', 'GEE1330-G04', 'GEC1104-G00', 'GEC1102-G11', 'GEC1102-G13']"
조도연,2020540424,기계공학과,4,2,"['GEE1958-G01', 'TK403-02', 'GEC1403-G18', 'GED1356-G01', 'BIO104-00', 'GEC2001-G00', 'ESP319-00', 'APCH1131-03', 'GED1217-G01', 'FD101-02', 'ME211-03', 'GEC1105-G42']","['GEC1403-G03', 'GED1504-G00', 'GED1432-G01', 'GEC2001-G41']"
윤리안,2016013386,기계공학과,4,2,"['APCH3606-00', 'IS2508-00', 'ENV418-00', 'GED1957-G02', 'JP111-02', 'AMTH1004-08', 'CE273-00', 'JP251-00', 'PM1019-12', 'GEC1105-G14', 'AMTH1005-00']","['GED1435-G00', 'GED1123-G00', 'GEB1202-G05', 'GEE1642-G00']"
한민서,2021946554,기계공학과,1,1,"['GEC1104-G28', 'APCH1101-06', 'VID4018-01', 'NE205-00', 'AMTH1004-00', 'GED1356-G01']","['GEE1657-G01', 'GEC1102-G29', 'GED1733-G00', 'GEC1102-G50', 'GEC2001-G08']"
최연재,2013490470,기계공학과,8,4,"['GEN315-00', 'GED1989-G00', 'CE351-02', 'GEC1104-G25', 'ESP324-00', 'TK401-01', 'BME211-00', 'CA2018-00', 'AE431-00', 'IS3402-00', 'SC103-01', 'GED1113-G01', 'AR511-03', 'GEE1330-G02', 'TK306-02', 'SC303-01', 'CA4001-01', 'CHE257-02', 'GEC1102-G05', 'CHE433-00']","['GEE1960-G01', 'GED1349-G00', 'GEC1104-G03', 'GED1356-G00', 'GED1544-G00']"
서세나,2016963798,기계공학과,7,4,"['GI302-01', 'GEC1104-G01', 'DC201-00', 'FSB281-00', 'GEC0103-G11', 'GEC1105-G36', 'EE201-01', 'CHE363-00', 'TC318-00', 'APCH1121-03', 'FD109-01', 'GEE1648-G00', 'PAM207-00', 'EE463-00', 'VID2002-01', 'AMIE461-00', 'APHY1000-02', 'GED1358-G00', 'EE368-01', 'CDG0264-00']","['GEC1102-G29', 'GEC1102-G47', 'GEC1102-G22', 'GEC1105-G41', 'GED1353-G00']"
강범준,2012705418,기계공학과,5,3,"['GED1466-G00', 'BME305-00', 'ELC105-00', 'GED1656-G00', 'GED1408-G01', 'EE209-02', 'APHY2105-00', 'GEC1105-G39', 'CPE104-05', 'VID3003-00', 'CA1007-00', 'GEC1102-G27', 'PM4025-12', 'ME202-01', 'EE497-00', 'ME202-02', 'SPACE493-00', 'CHE351-01']","['GEC1403-G07', 'GEE1665-G01', 'GED1504-G00', 'GEE1605-G00']"
박세윤,2017684187,기계공학과,6,3,"['GED1947-G00', 'AR501-00', 'GEC1102-G46', 'RU2201-00', 'GEE1956-G06', 'CPE201-07', 'AR411-01', 'GEC1403-G07', 'GI400-01', 'ME231-01', 'JP251-00', 'RU2103-00', 'EE370-01', 'FT4075-00', 'EE210-01', 'IS2204-01', 'SWCON314-00', 'ESP333-00']","['GEC1102-G31', 'GEC1101-G00', 'GEC1102-G33', 'GEE1344-G01', 'GEC1104-G08', 'EDU2102-G00']"
이하리,2015362013,기계공학과,6,3,"['AMTH1004-10', 'GEC1403-G35', 'GEB1102-G01', 'ID3013-00', 'CDG0265-00', 'AR111-04', 'GEC1403-G37', 'GEC1403-G10', 'GEC2001-G10', 'APCH1101-01', 'ESP309-01', 'CHI201-00', 'GED1710-G00', 'DC304-00', 'GEC1105-G08', 'AMTH1004-00', 'ME479-03', 'FT1075-00']","['GEC2001-G00', 'GED1951-G00', 'GEE1956-G03', 'GEC1403-G15', 'GEC1105-G24']"
임예준,2020126048,기계공학과,4,2,"['GED1957-G01', 'EE211-03', 'CPE401-02', 'GED1202-G01', 'ME331-03', 'CA2012-00', 'CPE301-05', 'PAM401-00', 'GEC1104-G06', 'JP213-00']","['GEC1105-G11', 'GEE1958-G00', 'GED1528-G00', 'GEC1104-G27']"
한여은,2016140923,기계공학과,8,4,"['AMTH2010-00', 'GEC1102-G26', 'CSE204-02', 'PE403-00', 'GED1717-G00', 'PM1005-00', 'GEC1403-G35', 'APHY1004-02', 'EE213-01', 'AMIE361-00', 'APCH1121-04', 'EE361-01', 'NE203-00', 'CA4002-00', 'GED1119-G01', 'APCH3401-01', 'AMTH4010-00', 'VID2002-00', 'PAM411-00', 'GEN307-00']","['GED1717-G01', 'GED1357-G00', 'GEB1202-G06', 'GED1502-G00', 'GEE1332-G00']"
최리우,2021254809,기계공학과,1,1,"['GEC2001-G38', 'GEE1959-G00', 'SC301-01', 'GI408-00', 'ME202-03', 'SWCON366-00']","['GEC1102-G14', 'GEC0103-G11', 'GEC1403-G14', 'GEC1104-G27']"
김이수,2015622591,기계공학과,4,2,"['GI404-01', 'CA2006-00', 'PE307-01', 'GEC1403-G02', 'APCH2104-00', 'GEC1105-G50', 'CPE401-16', 'FT1001-00', 'AMTH1009-09', 'GEC1105-G00', 'GI315-00', 'GEC0103-G00']","['GEC2001-G11', 'GED1965-G00', 'GEC1104-G33', 'GEC1105-G25', 'GEC1403-G29', 'GED1717-G03']"
조창민,2018826884,기계공학과,4,2,"['LA205-00', 'BIO101-04', 'CSE301-02', 'AE352-00', 'CPE301-02', 'KO1403-00', 'CSE423-00', 'GEE1633-G01', 'ENV315-00', 'ELC481-00']","['GED1202-G00', 'EDU3345-G00', 'GED1987-G00', 'GEC1102-G49', 'GEC1105-G06']"
한성연,2021417716,기계공학과,2,1,"['EE343-00', 'SC312-00', 'FSB401-00', 'PE107-02', 'CSE405-00', 'FT1071-00']","['GEC1105-G30', 'GEB1102-G01', 'GEC0103-G13', 'EDU4104-G00', 'GEC1403-G20', 'GEE1127-G01']"
김준희,2019085258,기계공학과,3,2,"['GED1108-G00', 'GED1206-G00', 'AR251-00', 'EE207-01', 'ME305-02', 'FD110-02', 'CHE332-02', 'GEE1613-G00', 'GED1217-G00', 'SC105-01', 'CPE101-05', 'FR3041-00']","['GEC1102-G11', 'GEC1104-G18', 'GED1511-G00', 'GEB1102-G02', 'GEC1105-G11']"
서소미,2018841551,기계공학과,8,4,"['ME331-01', 'GEC1102-G27', 'APCH2202-01', 'ME301-01', 'GEC1403-G18', 'SM327-02', 'PM1018-00', 'AMTH1002-06', 'AMIE271-00', 'SM209-00', 'GEC1102-G16', 'HBT408-00', 'GED1989-G00', 'GED1991-G00', 'CSE423-00', 'PM2018-00', 'ID2019-00', 'VID4022-00', 'APHY4404-00', 'AR411-03', 'EE370-01', 'GEC1403-G27', 'GED1873-G00', 'GED1940-G00']","['GEC1102-G01', 'GEE1332-G06', 'GED1665-G00', 'GED1353-G00', 'GEC1104-G20', 'GEC2001-G24']"
장재영,2011778734,기계공학과,3,2,"['CPE301-07', 'CPE201-13', 'APCH1101-05', 'BME304-00', 'CPE101-05', 'IS3516-00', 'TK204-02', 'GEC1104-G09', 'CHE355-00', 'CSE335-00', 'BME316-00', 'PM1019-18']","['GEE1608-G00', 'GEB1202-G06', 'GED1951-G00', 'GEC1102-G26']"
한현,2021795219,기계공학과,2,1,"['GEC1102-G33', 'GEC1102-G12', 'GEE1665-G01', 'RU2202-00', 'EE341-01']","['GED1358-G00', 'GEE1958-G00', 'GEC1105-G41', 'GEC1105-G09', 'GED1135-G00', 'GED1717-G02']"
임지연,2018897594,기계공학과,7,4,"['APCH3401-00', 'GED1502-G00', 'EE341-01', 'AMIE321-00', 'APCH1121-05', 'ELC464-00', 'IE324-01', 'ME335-02', 'BME304-01', 'AMTH1009-09', 'CDG3279-00', 'PM1019-05', 'JP273-00', 'KO1402-00', 'AMIE201-00', 'GED1208-G00']","['GEC1105-G44', 'GED1909-G00', 'GEC1105-G43', 'GED1959-G01', 'GEC1403-G10']"
정은석,2021227070,기계공학과,1,1,"['BME303-00', 'GEC1403-G00', 'IS2301-00', 'TC318-00']","['GEC1403-G28', 'GEC1403-G13', 'GED1119-G00', 'GEC2001-G33', 'GED1511-G00', 'GEC2001-G01']"
한정윤,2014222302,기계공학과,8,4,"['VID4025-00', 'GEC1102-G17', 'FSB471-00', 'GEC1102-G47', 'CHE251-02', 'GEC1102-G44', 'AR411-04', 'CE251-01', 'ENV212-01', 'GEC1105-G19', 'IE203-01', 'EE497-04', 'CHE132-02', 'KO1402-00', 'JP231-00', 'GEC0103-G02']","['GEE1956-G06', 'GED1437-G00', 'GEC1403-G19', 'GED1306-G00', 'GEC1403-G33', 'EDU2107-G00']"
강이안,2021894920,기계공학과,1,1,"['APHY1000-08', 'GEC2001-G24', 'BME303-00', 'GED1517-G00', 'EE368-02']","['GEC2001-G05', 'IPE401-00', 'GEE1127-G02', 'GEE1648-G00', 'GEC1403-G02']"
강채하,2018720816,기계공학과,7,4,"['PAM332-00', 'AMTH1002-04', 'JP380-00', 'VID2002-01', 'ENV171-01', 'AE401-00', 'PM1003-00', 'ID2019-00', 'EE497-03', 'PM4025-13', 'AMTH2006-00', 'PE306-01', 'SWCON314-00', 'GI408-00', 'FD101-01', 'AMTH1002-05', 'SC103-01', 'APHY3600-00', 'AMIE396-03', 'GEC1104-G44']","['GEC2001-G11', 'GED1710-G00', 'GEC2001-G05', 'GEC1105-G19', 'GED1544-G00']"
박리안,2017044407,기계공학과,7,4,"['FD111-02', 'AR211-02', 'FT4075-00', 'ME251-04', 'TK314-00', 'EE422-00', 'APHY1002-09', 'APHY1002-10', 'GEC2001-G07', 'CSE305-01', 'FT3082-00', 'FSB471-00', 'GEC1102-G46', 'AMIE251-00', 'LA207-00', 'KO1202-00']","['GEE1332-G04', 'GED1868-G00', 'GED1628-G00', 'GEC1104-G19', 'GED1957-G01', 'GED1325-G00']"
윤리하,2013887742,기계공학과,7,4,"['APCH1101-05', 'CPE401-01', 'PM1019-04', 'ENV391-00', 'AMTH1004-08', 'IS3002-00', 'GEC1104-G27', 'IS2506-00', 'GED1628-G00', 'ELC251-00', 'SWCON363-01', 'AE351-01', 'APHY1000-04', 'RU2103-00', 'EE211-02', 'GEC1105-G42', 'GED1861-G00', 'GED1104-G00', 'CE476-00', 'SM333-00', 'FT2066-00', 'CSE201-01', 'GEC1403-G12', 'JP111-00']","['GEB1202-G00', 'GED1860-G00', 'GEE1630-G00', 'GED1306-G00', 'GED1240-G01']"
서산,2013128794,기계공학과,6,3,"['CHE354-00', 'LA207-00', 'CE351-02', 'GEC2001-G00', 'CHI105-01', 'NE205-00', 'CSE103-03', 'AMTH1002-09', 'CHI420-00', 'IS2002-01', 'GEC1403-G02', 'IS1004-01', 'ME314-01', 'AMIE394-03', 'GEC1102-G16', 'SM312-00', 'AMTH1009-03', 'EDU3141-G00']","['GED1113-G01', 'GEC1102-G07', 'GEC1105-G36', 'GED1993-G00', 'GEC1104-G18']"
장민서,2017444782,기계공학과,4,2,"['VID2008-01', 'SWCON314-00', 'ENV171-02', 'TK308-01', 'ID3015-01', 'ELC481-00', 'PM4025-07', 'EE497-09']","['GEC1104-G03', 'GEC1102-G31', 'GEC1105-G34', 'GEC1102-G49', 'GEB1202-G06']"
강희원,2021009803,기계공학과,1,1,"['SPACE201-00', 'APHY1000-10', 'ME252-01', 'FD111-00', 'AE431-00']","['GEE1652-G00', 'GED1820-G00', 'GEC1105-G04', 'GEC1105-G24', 'GEE1127-G00', 'GEC1104-G20']"
조도건,2012002209,기계공학과,8,4,"['AMTH2014-00', 'CA4001-01', 'FT3077-00', 'GEC1104-G06', 'BME412-03', 'GEC1104-G37', 'ESP213-00', 'ELC101-00', 'GEC1105-G23', 'GEC1102-G11', 'KO1202-00', 'AE431-00', 'GED1466-G00', 'APCH2101-01', 'GEC1104-G34', 'GEC1403-G27', 'HBT408-00', 'KO4201-00', 'ESP309-00', 'EE202-05']","['GEC1104-G13', 'GEE1332-G04', 'GEC2001-G21', 'GEC1104-G21']"
장서후,2012043033,기계공학과,6,3,"['ID2013-00', 'ENV389-00', 'GI201-02', 'RTG108-00', 'PE217-00', 'AR351-00', 'CHE431-05', 'GEC1104-G16', 'GEC1102-G19', 'EDU3166-G00', 'GEC1403-G13', 'GEC1104-G21', 'GEC1105-G34', 'GEC1104-G23', 'CHI415-00']","['GED1432-G01', 'GEC2001-G10', 'GEC1102-G00', 'GEC1105-G24']"
윤은하,2017290390,기계공학과,6,3,"['CPE401-04', 'RU1101-02', 'GEC1102-G03', 'SPACE212-00', 'GED1609-G00', 'APHY4400-00', 'APHY2100-00', 'CE378-02', 'ID4019-01', 'EE207-00', 'PM3027-00', 'GED1860-G00', 'CDG3279-00', 'RU3101-01', 'EE209-01']","['GEE1961-G01', 'GEC1403-G00', 'GEE1657-G01', 'GED1657-G00', 'GED1957-G02']"
윤한솔,2011630068,기계공학과,4,2,"['APHY1002-05', 'CSE223-00', 'PAM330-00', 'KO3106-00', 'CHI312-00', 'PE211-01', 'ME479-04', 'ID4014-01', 'GEC2001-G01', 'IS3002-00']","['GED1509-G00', 'GED1206-G00', 'GEC1102-G33', 'GEE1330-G03', 'GEC1403-G33', 'GEC1104-G01']"
김상원,2016831219,기계공학과,8,4,"['GEC1104-G30', 'ID4014-01', 'GEC1102-G26', 'CE377-01', 'CPE401-03', 'ME331-02', 'APCH3301-01', 'APCH1121-03', 'GEC1105-G20', 'CHE354-00', 'CHI203-00', 'SPACE231-00', 'ENV385-00', 'SM316-01', 'GED1717-G03', 'GED1465-G00', 'ME301-01', 'CPE201-14', 'GEC1403-G29', 'SC209-01', 'GEN418-00', 'SWCON254-00', 'SC410-00', 'GED1465-G00']","['GED1363-G00', 'GEC1403-G26', 'GEE1127-G02', 'GEC1102-G51', 'GEC1104-G10']"
임민후,2021620981,기계공학과,2,1,"['AMTH1002-15', 'BME412-05', 'ESP438-00', 'GED1991-G00', 'ID2018-00', 'ESP207-00']","['GEC1403-G33', 'GED1962-G00', 'GED1108-G00', 'GED1868-G00', 'GEC1102-G16']"
박나래,2021399240,기계공학과,2,1,"['VID4022-01', 'IS3002-01', 'GED1989-G00', 'APHY1002-20', 'GEC1403-G37']","['GED1248-G00', 'GEE1642-G01', 'GEE1669-G00', 'GEC1102-G39', 'GEC1403-G09']"
이지영,2021535527,기계공학과,2,1,"['SPACE471-00', 'FSB304-00', 'PM1019-01', 'VID4018-01', 'GEC1105-G16', 'SPACE303-01']","['GED1306-G00', 'GEC1403-G05', 'GEE1265-G00', 'GEC1104-G19', 'GEC1403-G13', 'GEB1102-G01']"
윤재이,2013234680,기계공학과,5,3,"['IS2514-00', 'GED1208-G00', 'GEC1403-G00', 'GEE1667-G00', 'AMTH1004-11', 'ESP319-00', 'TK101-02', 'ELC103-00', 'PAM332-00', 'PM4025-08', 'VID4023-00', 'GED1736-G00', 'PE216-00', 'ELC205-00', 'EE211-01', 'GEC1104-G03', 'APHY4404-00', 'ESP118-00']","['GEC1104-G38', 'GEC1102-G07', 'GED1542-G00', 'GEC1104-G04', 'ME382-01', 'GEC2001-G30']"
장혜나,2018389215,기계공학과,3,2,"['SC107-01', 'APCH2303-02', 'GEC2001-G27', 'GEC1104-G18', 'ESP318-00', 'ME371-04', 'IS3406-00', 'BIO104-00', 'JP251-00', 'APCH1131-00', 'ME231-04', 'CSE495-00']","['GED1337-G00', 'GED1208-G01', 'GED1437-G00', 'GEC1403-G30', 'GEC1105-G00']"
장승유,2020681351,기계공학과,3,2,"['JP213-00', 'PM4025-14', 'TK102-01', 'GEC1105-G22', 'ENV357-00', 'GI205-01', 'GED1119-G01', 'KO1402-00', 'FT2070-00', 'LA316-00', 'ELC337-00', 'SWCON402-00']","['GEC1403-G32', 'GEE1669-G00', 'GEC1105-G48', 'GEC2001-G36', 'GED1437-G00', 'GED1734-G00']"
장재경,2014429354,기계공학과,6,3,"['NE446-00', 'PM3022-19', 'APHY1000-05', 'GEC1105-G06', 'GEC2001-G38', 'IS2516-00', 'EE342-00', 'AR311-04', 'GEC1102-G08', 'APCH1101-09', 'AR511-03', 'ME305-02']","['IPE108-00', 'GEC1101-G00', 'GEC1102-G20', 'GEC2001-G04', 'GED1965-G00']"
박인서,2013840119,기계공학과,4,2,"['AR311-02', 'GEE1330-G03', 'GEC1102-G21', 'APCH4601-00', 'TK306-02', 'ME251-04', 'IE320-00', 'GEC1105-G20', 'AMTH4007-00', 'FD109-00']","['GEC1105-G48', 'GEC2001-G39', 'GEC1105-G19', 'GEC0103-G13', 'EDU2103-G03']"
서미소,2013434679,기계공학과,5,3,"['DC332-00', 'CSE204-01', 'NE205-00', 'ENV276-00', 'FD110-00', 'CPE103-02', 'FT1001-00', 'EDU2103-G04', 'SC107-00', 'EDU2104-G00', 'JP251-00', 'PE107-01', 'TK301-01', 'GEC1403-G32', 'ID2018-00']","['GEE1330-G05', 'GED1235-G00', 'GED1820-G00', 'GEC1102-G35', 'GED1306-G00']"
최정우,2017989625,기계공학과,8,4,"['APCH3301-01', 'FSB401-00', 'GEC1102-G20', 'ME380-01', 'GEN324-00', 'GEC1105-G12', 'CSE304-01', 'GEE1330-G01', 'AMTH1002-07', 'PAM411-00', 'IS2511-00', 'IS1004-01', 'SC402-01', 'TK204-02', 'GEE1330-G04', 'CHI314-00', 'GEC1102-G19', 'CDG0266-00', 'AE101-00', 'EE364-00']","['GEE1920-G00', 'GEC1102-G36', 'GED1717-G02', 'GEC2001-G03', 'GEB1101-G02', 'GEC1403-G35']"
한유주,2021362593,기계공학과,1,1,"['CPE401-10', 'AMTH1002-09', 'NE361-00', 'TK310-02', 'GEC1104-G44', 'CSE440-00']","['GEC2001-G05', 'GEE1630-G00', 'GEE1608-G00', 'GEC1102-G25', 'GED1960-G00']"
김태준,2013114812,기계공학과,6,3,"['PM1019-05', 'PM3024-00', 'AMTH2010-00', 'GEC1105-G30', 'GEC2001-G07', 'CSE433-00', 'NE361-00', 'IS3402-00', 'GED1504-G00', 'CHE431-05', 'EE210-03', 'GEE1633-G01', 'VID4022-01', 'TK207-01', 'SPACE203-00', 'CA4001-01', 'GI201-02', 'IS3520-00']","['GEC2001-G19', 'GED1993-G00', 'GED1542-G00', 'GEC2001-G18']"
